[01:35:01] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=0, project=none, stage=none, unhousedAdults=2, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:35:12] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=837, project=lumberjack_plains_1, stage=GATHERING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:35:13] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=2273, project=lumberjack_plains_1, stage=NOT_STARTED, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:35:13] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=2275, project=lumberjack_plains_1, stage=CONSTRUCTING, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:35:24] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=11993, project=lumberjack_plains_1, stage=COMPLETE, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:35:25] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=12740, project=none, stage=none, unhousedAdults=0, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:36:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=60961, project=farm_plains_3, stage=GATHERING, unhousedAdults=2, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:37:39] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=72259, project=farm_plains_3, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:37:39] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=72261, project=farm_plains_3, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:38:19] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=78059, project=farm_plains_3, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:38:20] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=78740, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:40:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=126891, project=farm_plains_3, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:40:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=127080, project=farm_plains_3, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:40:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=127082, project=farm_plains_3, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:41:40] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=145300, project=farm_plains_3, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:41:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=145940, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:43:21] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=194044, project=farm_plains_3, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
[01:43:22] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=194440, project=farm_plains_3, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=true, staffedFoodPosts=2]
