[01:12:22] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=0, project=none, stage=none, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:12:30] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=137, project=mine_plains_2, stage=GATHERING, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:12:36] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=509, project=mine_plains_2, stage=NOT_STARTED, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:12:36] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=511, project=mine_plains_2, stage=CONSTRUCTING, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:12:53] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=2629, project=mine_plains_2, stage=COMPLETE, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:12:58] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=3640, project=none, stage=none, unhousedAdults=1, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:16:41] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=51776, project=butchery_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:16:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=51919, project=butchery_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:16:42] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=51921, project=butchery_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:16:45] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=58959, project=butchery_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:16:46] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=60040, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:17:51] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=108156, project=butchery_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:17:51] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=108359, project=butchery_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:17:51] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=108361, project=butchery_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:18:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=126519, project=butchery_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:18:04] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=127240, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:19:10] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=175357, project=farm_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:19:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=175679, project=farm_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:19:11] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=175681, project=farm_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:19:12] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=177519, project=farm_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:19:12] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=177640, project=none, stage=none, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:20:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=225759, project=house_plains_1, stage=GATHERING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:20:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=225979, project=house_plains_1, stage=NOT_STARTED, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:20:03] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=225981, project=house_plains_1, stage=CONSTRUCTING, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:20:15] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=240199, project=house_plains_1, stage=COMPLETE, unhousedAdults=4, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:20:17] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-transition] Transition[elapsedTicks=241240, project=none, stage=none, unhousedAdults=3, queuedItems=0, displacedResidents=0, freshWater=false, staffedFoodPosts=1]
[01:22:57] [Server thread/INFO] [co.qu.ki.Kithkyn/]: [redevelopment-benchmark] COMPLETE enabled=false elapsed=288000 builds=5
